계정별 분류,성격별 분류
Ⅰ. 유동자산,소계
  현금및현금성자산,현금성자산
  단기금융상품,금융상품
  매출채권,매출채권
  단기대여금,대여금
  미수금,기타
  리스채권,기타
  미수수익,기타
  보증금,기타
  재고자산,재고자산
  파생금융상품자산,금융상품
  당기법인세자산,기타
  기타유동자산,기타
  매각예정비유동자산,기타
Ⅱ. 비유동자산,소계
  장기금융상품,금융상품
  장기투자증권,금융상품
  관계기업투자,관계기업
  장기매출채권,매출채권
  장기미수금,기타
  장기리스채권,기타
  투자부동산,"유,무형자산"
  유형자산,"유,무형자산"
  사용권자산,사용권자산
  영업권 및 무형자산,"유,무형자산"
  장기보증금,기타
  확정급여자산,기타
  이연법인세자산,기타
  기타비유동자산,기타
자       산       총       계,자       산       총       계
부                           채,부                           채
Ⅰ. 유동부채,소계
  단기차입금,차입금
  매입채무,외상매입금
  미지급금,미지급금
  미지급비용,기타
  선수금,기타
  선수수익,기타
  예수금,기타
  당기법인세부채,기타
  리스부채,리스부채
  유동성충당부채,기타
  파생금융상품부채,기타
  기타유동부채,기타
  매각예정부채,기타
Ⅱ. 비유동부채,소계
  장기차입금,차입금
  장기미지급금,기타
  장기예수금,보증금
  장기리스부채,리스부채
  확정급여채무,기타
  충당부채,기타
  이연법인세부채,기타
부       채       총       계,부       채       총       계
자                           본,자                           본
Ⅰ. 지배기업소유주에 귀속되는 자본,소계
  자본금,자본
  기타불입자본,자본
  기타포괄손익누계액,자본
  이익잉여금,자본
Ⅱ. 비지배지분,자본
자       본       총       계,자       본       총       계
부  채  와  자  본  총  계,부  채  와  자  본  총  계
